[00:00:10,480] Speaker 0: 大家好，欢迎收听探极生物生存指南，我是爱读文献的梦妮。
[00:00:15,198] Speaker 0: 本期节目是由巴斯夫发起的选择可持续的职场路企划系列之一。
[00:00:21,760] Speaker 0: 那今天这期节目呢？
[00:00:23,440] Speaker 0: 我想从一个问题开始。
[00:00:25,518] Speaker 0: 你上一次听到这样的新闻是什么时候了？
[00:00:32,079] Speaker 0: 明天是第二十一个世界国际保护臭氧层日。
[00:00:35,759] Speaker 0: 截至目前，我省已经淘汰臭氧层破坏物质生产线二百五十多个，对氟利昂实行全面禁用。
[00:00:42,478] Speaker 0: 消耗臭氧层物质广泛应用于制冷剂发泡剂气雾剂等领域。
[00:00:47,039] Speaker 0: 保护臭氧层应对气候变化是全球面临的共同挑战。
[00:00:54,560] Speaker 0: 没错，从二十世纪八十年代开始呢，我们就确认了南极上空的臭氧层出现了空洞。
[00:01:01,679] Speaker 0: 而臭氧层是环绕地球的一个由气态分子组成的保护层，它能非常有效的吸收太阳的辐射，因此保护着地球上几乎所有的动植物。
[00:01:13,438] Speaker 0: 有部分科学家认为，完全没有臭氧层的地球会让我们陷入切实的生存危机。
[00:01:20,799] Speaker 0: 几十年后地球上可能只有深海生物和极端的微生物能够存活Every October, a hole appears in the ozone layer over the South Pole.
[00:01:30,640] Speaker 0: The protective ozone layer is being threatened as never before We're all at risk而造成如此重要的臭氧层破坏的元凶呢是我们使用的一种叫做氯氟烃的化合物也就是氟利昂而一九八零年前后世界上的大多数国家生产冰箱空调到泡沫塑料等等等.
[00:01:53,040] Speaker 0: 到处都有福利啊，毫无疑问，全世界都需要迅速的做出重大改变。
[00:02:00,480] Speaker 0: 而在这样的背景下1987年，全世界所有的国家坐在了一起，签署了蒙特利尔议定书。
[00:02:07,120] Speaker 0: 而迄今为止这份议定书是唯一获得批准的全球性条约全球每一个国家都签署了.
[00:02:24,318] Speaker 0: 而这也是人类历史上最成功的环境协议。
[00:02:39,280] Speaker 0: 在此后不久，世界最大的氟利昂生产厂商就开始逐渐淘汰这些产品。
[00:02:44,718] Speaker 0: 而站在三十多年后的今天，你不再能在新闻里听到臭氧层和氟利昂，是因为臭氧空洞已经停止扩大，并且正在逐渐缩小。
[00:02:54,718] Speaker 0: 预计到二零六五年，臭氧层将完全恢复。
[00:02:58,639] Speaker 0: 所以，我们成功了。
[00:03:00,558] Speaker 0: 而且是一个巨大的成功，就在几年的时间里面，从发现到签订协议，到全世界通过批准，不管是发达国家还是发展中国家，大家都愿意为了这个环境问题尽自己最大的努力。
[00:03:17,359] Speaker 0: 回看这个故事，你会觉得人类是在意环境和在意气候的。
[00:03:22,638] Speaker 0: 我们全世界的所有人也能排除分歧，坐在一起，为了一个还没有影响到自身的，还是相对比较遥远的气候危机做出统一的行动。
[00:03:33,358] Speaker 0: 我们能做到，我们也做到过。
[00:03:36,559] Speaker 0: 但当臭氧层正在逐渐恢复的同时，另外一个更大的气候问题全球变暖，怎么好像就复杂的多得多？
[00:03:46,799] Speaker 0: 我们大概率无法完成曾经设定的目标，而且一切似乎正在向更糟糕的情况发展。
[00:03:54,638] Speaker 0: 因为全球变暖导致的极端气候正在发生，气候变化导致的难民人数也在逐年增加，整个生态系统正在面临崩溃。
[00:04:05,438] Speaker 0: 气候变化是我们现在面临的最严峻的环境问题，而我们需要有效的解决方案。
[00:04:15,278] Speaker 0: 那这第一步就是你得承认气候变化，你要认可说目。
[00:04:20,078] Speaker 0: 前我们所看到的气候变化，主要是由人为原因导致的，而且如果不加控制，很有可能会带来灾难性的后果。
[00:04:29,278] Speaker 0: 这是我们一切讨论的前提。
[00:04:32,878] Speaker 0: 但我相信，你心中可能还是会有一些小小的困惑，因为之前我也有。
[00:04:38,479] Speaker 0: 那这些困惑的核心主要有两点。
[00:04:41,918] Speaker 0: 第一就是地球的气候一直在变化。
[00:04:45,518] Speaker 0: 没错，在过去的几十年过程中，地球确实变暖了。
[00:04:50,319] Speaker 0: 但在整个地球气候的发展史上，现在不是最热的时候，也不是最冷的时候。
[00:04:57,199] Speaker 0: 以前在人类活动之前，也有过更热的夏天。
[00:05:01,437] Speaker 0: 所以，气候变化全球变暖，它是不是只是地球自然循环的一部分？
[00:05:07,679] Speaker 0: 这一点听上去很可信，因为某种程度上来说，它就是对的。
[00:05:12,479] Speaker 0: 地球确实在过去几十万年的时间里，一直在经历冷暖交替。
[00:05:17,999] Speaker 0: 那全球变暖它的危险之处到底在哪里呢？
[00:05:21,999] Speaker 0: 事实上，比气温上升的绝对值更让人担心的是它上升的速度。
[00:05:28,237] Speaker 0: 在地质研究中，你可以看到，往往快速的气候变化会导致物种大灭绝。
[00:05:34,798] Speaker 0: 我们可以看看具体数据。
[00:05:36,957] Speaker 0: 一项研究了过去4.
[00:05:38,638] Speaker 0: 5亿年的大灭绝与气候变化的关联研究显示，引发大规模物种灭绝的气温变化幅度在5.
[00:05:47,038] Speaker 0: 2度，但与此同时，它的速度在每百万年十度。
[00:05:52,398] Speaker 0: 也就是说，如果我们每百万年气温增加十度，那根据过去的地质研究，这样的变化速
[00:05:59,886] Speaker 0: 就很有可能导致大范围的物种灭绝，而这样的物种灭绝就包括了地球历史上最惨烈的一次大灭绝二叠纪末的大灭绝。
[00:06:10,526] Speaker 0: 你可能还记得在博物馆里看到关于它的介绍。
[00:06:13,725] Speaker 0: 目前学界的推测是，由火山爆发造成了一系列的连锁效应，包括大规模的二氧化碳进入大气全球变暖酸雨等等等等这些，引发了大规模的物种灭绝。
[00:06:26,846] Speaker 0: 多样化的生态系统至少五百万年内都没有重新出现。
[00:06:31,725] Speaker 0: 那我们回到现代社会，在过去仅仅一百年的时间里，工业革命就导致了全球升温一到两度。
[00:06:41,086] Speaker 0: 所以如果这样比较就很明显了，触发大灭绝的临界值如果是每百万年十度，那我们在过去一百年里就已经升温一到两度了。
[00:06:52,605] Speaker 0: 而如果你去对比这两个时期空气中的二氧化碳浓度增速的话，你能得到的结果是，现代社会空气中二氧化碳浓度的增速大概是二叠界大灭绝时期的十二到八十六倍。
[00:07:08,526] Speaker 0: 当然了，这些古老的地质学研究肯定有它不够准确的地方，但即使如此，你应该也能感受到，就是现在地球气候的变化，虽然温度可那不高，但是速率非常惊人。
[00:07:23,405] Speaker 0: 这样变化的迅速程度，可能在有生命出现后的地球历史上都没有发生过，并且它是人为原因导致的，是我们燃烧石油燃烧煤炭我们的人类活动导致的，而只有很小一部分是由火山爆发这样的自然现象导致的。
[00:07:43,965] Speaker 0: 那理清楚这一点之后，就还有第二个逻辑缺口，就是你看在巴黎协定中，这份协定呢跟蒙特利尔议定书很类似，全世界几乎所有的国家都坐在了一起，签署了一项针对全球变暖和气候变化的目标，将全球的气温升幅控制在工业化前的两度以内，并努力把这个数值控制在1.
[00:08:09,166] Speaker 0: 5度以内。
[00:08:10,925] Speaker 0: 那结合我们刚才讲的物种大灭绝的温度升幅临界点是五点二度，我不知道你听到以后会不会有这样一个疑问？
[00:08:20,446] Speaker 0: 就是不管一点五度两度还是五点二度，听上去都不是很高，在一天范围之内，温度的变化就能轻轻松松超过五度甚至超过十度。
[00:08:33,485] Speaker 0: 那为什么全球气温升高两度以上就如此不能让人接受呢？
[00:08:39,406] Speaker 0: 说实话，这一点其实我也一直有疑问，因为我总觉得夏天升高一到两度我能接受，我相信大部分人也都能接受。
[00:08:49,166] Speaker 0: 可问题是，我们现在的体感每个夏天的升温和记忆里的夏天比可远不止一到两度，所以这个平均升温两度背后到。
[00:08:59,725] Speaker 0: 意味着什么？
[00:09:01,644] Speaker 0: 而为了理解这一点，我想有一个例子非常合适，就是海洋的洋流。
