[00:00:00,000] Speaker 0: OpenAI 很多这个 model release 都有我的名字，这个就是因为我在 OpenAI 的内部搭了整个 post training 的 RL infra。所以整个 post training 的 RL infra 你是最核心的贡献者了？是的，因为我觉得应该打破信息差，信息差是一个就是如果你在清华生存的话是一个很有用的东西，但是我应我觉得每个人都应该平等的拥有这个信息，哪怕当时有了现在的认知那还是做不出来。没有我不想发 paper，我觉得发 paper 完全没有意义。方当时说要搞一个呃 AI lab，就是后面的 DeepSeek。对，我当时是拿了 offer。如果你想进工业界那么读 PhD 就是浪费生命。教一个 researcher 如何做好 engineering 要远比教个 engineer 如何做好 research 来得难。每家的 infra 都有不同程度的 bug，然后谁修 bug，谁修的 bug 越多，那谁的模型训的就越好。Hello 大家好，本期嘉宾翁佳艺，他于 2022 年加入 OpenAI，并且是 OpenAI 一系列模型背后的核心贡献者，从 ChatGPT、GPT-4o 再到 GPT-5，你能看到的每一个模型跃迁背后都有他的身影，而他的核心贡献可以被总结为三个关键词：强化学习、post training。Infra，但对我来说，翁佳毅不只是把模型做得更强的人，在加入 OpenAI 之前他就已经用开源和代码影响过无数人，从在清华开源作业与资料试图打破信息差，到开源强化学习框架天授，做出免费签证查询系统，他把代码工具视作一种慈善。在这期播客我们会从翁佳毅的童年聊起，到清华与 CMU 的求学之路，再到2022年加入 OpenAI 之后的亲身经历，站在世界 AI 风暴中心的他看见了什么？这里是 Why Not TV Podcast，现在请和我一起进入翁佳毅的世界。Hello 嘉毅，欢迎你来到 Why Not TV Podcast。Hello Hello。啊，这个我觉得这期很奇妙的一点就是，我在给你准备这期的 outline 的时候我用的是 GPT-5 的 Deep Research，然后就相当于是你自己在背后作为核心开发者的产品和模型，然后他们自己在做 Deep Research 想这些问题，来采访你是背后他们的生产者是他们的 developer，我觉得这个是一个比较奇妙的闭环。今天我们会谈到很多部分，从你的童年成长，清华的本科经历，到 CMU 读研，再到2022年加入 OpenAI 至今的所有的核心开发的经历，我想先从最早你的童年开始，能不能给我讲讲你觉得你小时候是一个什么样的小孩？我小时候特别喜欢这个学奥数。奥数？对，我从一年级开始就开始学奥数。嗯，就是因为开始的时候呃我爸妈让我去听了这个进修校的一个奥数课跟语文课，然后我对语文完全不感兴趣但是我对奥数就
[00:03:00,000] Speaker 0: 非常感兴趣，然后我就进去了，然后从一年级开始就一直上到六年级，然后初中也是。然后我发现就是我做数学题做的比谁都快。小学的时候？对，小学的时候就是比如说别别人口算题，像二年级的时候口算题可能还没做完，就可能写到一半，然后我就已经做完了。嗯，就是那种不用过脑子的。嗯，可能用现在时髦的话说就是 system one。啊，对，直接直接表层意识直接过，然后直接看一眼出来答案那种，然后就是这个让我做数学题非常有成就感，因为我觉得我是一个学习还算相比于其他人比较偏慢的人，呃怎么说呢就是学一个新的东西我经常要花别人两到三倍的时间，但现在其实还是这样，就是比如说我读一段代码，我就是要比别人花很多的时间去理解整个内容整个 context，呃然后但是我一旦理解之后我用得就非常快。呃有一个不太恰当的例子，就是比如说我小时候经常不是要背书嘛，嗯，背一个课文，嗯，然后我就是在睡觉之前我想想想尽所有方法，然后能能够磕磕巴巴的就是呃完整的背出来，然后哪怕有很多停顿，然后你只要想起来都好，然后睡一觉，然后第二天醒来发现这个倒背如流。嗯，我当时想法是就是因为我我需要花更多的时间，所以说我需要呃比别人提前学东西，呃所以所以当时我就是在呃初中的时候开始上高中数学，然后就是直接直接问这个初中的数学老师各种高中数学的一些问题，然后他也非常热心呃回答我，然后我也非常感激。初二的时候就已经把高中啃完了，然后初三就开始学微积分。数学你天生就觉得你做得快，然后比别人都快，但同时呢你又觉得你学东西慢。我感觉应该就是呃我需要更长的时间构建我的知识树，就是呃正常来说这个知识树是比如说有个根，然后往上拓展，然后再往上拓展再往上拓展，然后好几层，然后你每次比如说拿这个最顶层的这个结论去应用到这道题当中，然后你要从头到尾过一遍，然后你要慢慢慢慢想出来，但我可能就直接建立一个链接 shortcut 然后直接上去，然后就不用反应了。所以你是从小就意识到我好像比别人更聪明？呃没有，没有这种感觉。没有。所以你只是说，你好像你只是觉得你对这事儿感兴趣，那你愿意提前学数学这个事儿的这个
[00:06:00,000] Speaker 0: 这个里里面的核心兴趣是哪来的？呃，我想投资未来。哦，我想投资我自己的未来。所以你在初二的时候你就意识到，我这个时候学提前学高中数学是一种投资未来。对，呃对于我的未来的一些学习生涯是有帮助的。呃与其说我现在浪费时间在这个刷题上面，那不如学一点对未来有用的东西，然后后面的收益可能更多。这个是你父母跟你讲过类似的吗？不是，OK，我父母无所谓，我父母就根本不是怎么关心我是怎么学的。但我还是特好奇为什么你初中的时候就有投资未来的这种想法，我相信你那时候肯定学有余力对吧？对，啊你为什么不去玩儿，为什么不去打篮球打游戏，你为什么想着我要学高中数学我要怎么怎么样？呃首先是因为对这个感兴趣，就是我觉得这个，呃这个这个初等数学太无趣了，然后这个稍微怎么说呢，稍微稍微有意思一点的数学更呃能引起我的兴趣。那是谁让你有了这种兴趣吗？是天生的吗？对数学。呃可以算是吧或者说，还是说是小学的时候你因为这事儿有成就感所以你就，呃你可以这么认为。就是有一个初始的成就感，然后初始的 reward，然后慢慢慢慢的，然后你就会慢慢慢慢把这个你数学这方面的这个技能树慢慢慢开始点，因为你每点一次你都会有个正反馈，然后再点一次再有正反馈，然后你就会一直在这个上面走。嗯，但像比如说打篮球我试过，但是没有什么正反馈，就是我经常被我舍友按着打。对，然后体育，呃，我练过跆拳道，我觉得跆拳道还可以，但是这个跆拳道一打实战我就被对手揍着了。对，所以反而是这种正反馈，你本身也擅长，然后你对这个也不排斥，慢慢慢慢就变成了一种自发的内生的兴趣了。对，嗯，所以其实倒不是家庭环境，而是就是你自发而产生的兴趣。是的是的是的。那这是数学，你初中的时候提前学高中的数学，那你高中的时候为什么又对编程产生了兴趣呢？啊，我编程是初一开始的，对，初一，对，编程是初一开始，是因为那个就是小升初的时候我去了时代中学，然后它是一个私立校，但是私立校的话有一个这个编程兴趣班，然后我抱着玩。我能理解高中有兴趣学竞赛，但其实初中搞编程应该不对升学没有太多用，对不对？啊是的是的，没有太多用。那这个事儿也是你自己找的兴趣班还是你父母给你找的？我父母觉得这个可能对我挺有意思的，然后我就试了试，然后我觉得还可以。好，那我们聊你高中，啊高中我觉得其实我最感兴趣的是你 NOI
[00:09:00,000] Speaker 0: 哎，省选 NOI 的经历能给我们讲讲吗？为什么要搞竞赛呢？因为升学压力还是有的。嗯，呃，你如果不搞竞赛，那这个对于非北清的人员来说想上清华北大是非常难的，这个难如登天。所以当时是因为升学压力搞的 NOI？啊是的是的，就是呃大部分是因为升学压力，因为我之前就已经在搞数学竞赛跟 NOI 了，然后我高一的时候其实花了一点时间去做数学竞赛，拿到了一些还可以的名次，但是如果再往上的话就是呃省选，数学竞赛的省选，然后我们学校是没有那个基础的，然后自己学也很困难，所以说我就放弃了，并且我对这个再往上的这个就省选往上的数学题，呃我觉得我非常困难，因为我没有那么早去接触，然后我觉得学习起来非常累。你觉得哪怕初中就开始学高中数学都不够早？呃，初中开始学高中数学竞赛可能够早一点。嗯对，就是我没有那么提前，对，所以所以说我掂量一下还是放弃了。你就去搞呃 NOI 信息学竞赛，对，搞 NOI 了。能给我们介绍一下就是，呃靠信息学竞赛然后升学，这个一般是要经过什么什么步骤，先省选然后是什么样的流程？呃先 NOINOIP 然后就是相当于一个普及组的呃不是提高组 NOIP 提高组的一个这个省里面的一个选拔赛差不多是十月，然后后面是呃弄完是每个省都有每个省不同的选拔标准要选出来省队去参加国赛，然后省省选的话福建是有两轮，一轮在寒假一，然后还有一轮在四月份。然后选完之后然后就是五六月应该有一个清华或者北大夏令营可以二选一，呃可以拿一些这个优惠条件至少当时是这样的，然后是在七月到八月去搞 NOI 的这个国赛。那给我们讲讲你在这个过程中啊是怎么样的第一轮第二轮第三轮？这个 NOIP 还好吧，这个 NOIP 就是已经因为因为这个从初中开始搞的所以说还好，然后省选，省选这个高一的时候就是连省选都没过，就是完全不会做，几乎不会做，然后高二的时候会做一点点就是会乱搞，然后会一些这个这个 heuristic 的方法，就比如说这个有一题叫这个最小双圆覆盖，然后我当时搞出来七十分我刚好像是全场最高，因为我做出来这一题后面就是进了省队，但是进完省队之后就是呃后面的就是清华夏令营感觉还可以，就是拿到一个降六十无条件降六十有条件本一线。这个怎么理解？就是高考的成绩直接会给你加
[00:12:00,000] Speaker 0: 60，如果你没有保送的话，然后如果这个线过了清华当年的录取线，那么清华就会要你。然后有条件本一是说，呃，如果在 NOI 比赛里面，呃考到了前 150 名，应该是银牌的线，那么就有本一，如果你只要高考的成绩过了本一，那么就无条件录取。但是如果你是金牌的话，那你就连这个都不用了，你直接保送。你当时拿到 NOI 的那个有条件本一了吗？呃，Unfortunately 没有，因为就是，呃这个又是一个黑历史了，就是我是当时的福建省队的倒数第一。嗯哼，福建省队就只有当年只有一个铜牌就是我，然后剩下人都银牌以上。这事儿的失利对你的升学有影响吗当时？呃还是有挺多影响的，因为我当时毕竟高二下半年没有搞文化课，然后我对于我的未来也不是很确定，我不知道我到底能高考考多少分。呃有些之前的例子比如说像，有学长就是把 60 分加分全部用完了，然后就真真的是一点都不剩，然后我觉得这个万一我也这样子呢就很危险，然后我对于这种不确定性非常害怕，呃但是想了想我觉得，呃我应该也没有那么差吧，然后还是还是就咬牙选了这个降六十。所以你当时另外一个选择是更保险一点的？呃更保险的一点就是直接可以在 NOI 现场，然后签一个上海交大的本一线录取。所以当时这个是一个很艰难的决定了。也还好吧，就是主要是，嗯首先心态方面这个当时毕竟很难过，然后对未来不确定性，呃就是自己感到很害怕，然后但是家人鼓励还是让我选择了这个，呃选这个清华 60。那当时是不是弄完 NOI 搞完竞赛之后到高三你就不碰这些东西了，就 all in 高考？呃也没有，就是可能会偷偷地碰，就是像比如说，我觉得我对这个代码的优化有特别的追求，就是我会，呃我当时甚至练成了，就是比如说在那个 iPad 上面直接，呃因为 Safari 它是没有代码编译器的，然后我就直接用 iPad 键盘直接裸打代码，然后直接交，然后没有编译，那一段经历其实我觉得也很锻炼自己的思考能力，因为它需要你对于整个题目或者整个逻辑有个完整的认知，然后哪里错了你要能快速地定位到是哪里错了。
[00:15:00,000] Speaker 0: 然后它会很锻炼你的这个反应能力，呃，然后我觉得这个对于我来说是一个很好的锻炼了。但对你来说当时其实不需要这种锻炼。呃是的是的，只只不过这就是自己很感兴趣，就比如说当时这个 OI 还有一个叫常数优化。嗯嗯嗯，呃就比如说这个，呃有一个算法，这个虽然时间复杂度可能都是 n 平方，然后但是这个 10 的它的这个前面是带了一个常数的。然后这个 OI 的这个评测都是会有这个结果，就比如说按照这个跑测试点的时间来排序，然后跑得最快的那么就排第一，然后如果跑一样快那按照代码长度的长短。然后所以说这个我会同时 optimize 这两个指标，然后刷这个东西就感觉很有意思，很有意思，虽然说没什么用但是很有意思。嗯对，你真是搞这个的圣体，因为你真喜欢这个东西是吧？从中能获得快乐。对，嗯嗯嗯，那我们来聊聊清华。啊如果我跟你说你在清华 2016 年开始读本科，你直接跟我说有没有什么现在想起来，哇特别比如说大一大二刚进去值得回忆的事儿，第一个浮上你脑海的是什么？真有的话就是是我我把我所有的作业都开源了。因为不同的人对这件事情有不同的看法，呃像比如说有些学长学姐是比较反对这件事的，但是我觉得我应该做这件事儿。我当时做一个把这个我所收集到的所有呃这个上古作业、上古材料，然后全部在 GitHub 上开源了，除了那些有版权问题的我没开源，然后剩下的没有版权问题的都开源了。为什么？因为我觉得应该打破信息差，信息差是一个就是如果你在清华生存的话是一个很有用的东西，但是我觉着每个人都应该平等地拥有这个信息。你现在回去，你现在回去随便抓个计算机的学弟问，问这个，你认不认识捐新系楼的人？哪怕他把他的名字放在系楼上面，你认不认识他？不认识。你认不认识温嘉一？应该认识，因为毕竟这个大家都看我的作业火的。哈哈哈，这个比捐楼有用。是的。此处弹幕应该闪过加一，如果看过你的作业就应该在这时候发个弹幕了吧。啊，但为什么你会把你的作业开源，这里面本质为什么和信息差有关系？呃我想打破这个信息差，就是我不想让后人重蹈覆辙，就是经常疲于奔命，就是很多人其实
[00:18:00,000] Speaker 0: 他不是很擅长搜集东西的，但是他其实很有能力的，但我呃其实，呃就如果能够给这些人有一个信息平权的机会的话，那他可能在清华会活得更好。所以你的信息平权是指知不知道往年的作业这种信息和学长学姐问过以前会考什么重点这种信息？呃以及作业，以及老师没有规定不能放出来的作业。嗯，呃不然的话你会经常会花可能十几二十个小时，然后你又不敢问助教，然后你就不知道怎么做。然后你就会花一些巨大、巨大块的时间，然后去一直在钻牛角尖，然后反而对整个学习是很没有帮助的，收益很低。但这样的话就是，如果我我当时觉得如果我把做我自己的作业开源的话，那么我可能会帮到一些这样的例子，然后可能会帮后面更多的一些学弟学妹，拥有更多自己的时间来去做他们更想做的事情，而不是用脑就是做这些比较浪费生命的事，对。所以你这事做成了，现在你的作业应该在清华已经成为一个很广为流传的 GitHub repo。啊是吧？嗯嗯嗯。那这个之外呢，我看到你应该大一、大二、大三多久开始入门科研啊这些什么什么时候开始的？呃，这个应该是大二吧，然后后面就是呃，就是问学长说这个有没有哪个推荐的实验室。呃，当时有就学长跟我说了三个名字，呃朱军老师，然后谭杰老师还有崔鹏老师。呃，我默认这个按排序，按照每个人牛逼程度排序，呃当然可能不是这样的，但是我当时就是按照这个这个排序，就理解为先后顺序，对，对我以为先后顺序，然后就报了一个计算机的学术新星计划，然后后面就是应该是全录取了，然后我就选了朱军老师。然后大二的时候就跟朱军老师呃就是先见了一面，然后就是问说有什么方向，有三个方向。呃，贝叶斯，呃对抗网，对抗生成网络就是 GAN，还有一个强化学习，强化学习对，呃就是三个方向。然后我当时其实想搞的是 GAN，我觉得这个图像非常有意思，呃但是我不知道哪个是 GAN，然后我就选了 RL。什么叫不知道哪个是 GAN？我当时真的什么都不知道，我就是个小白，对，然后我就误打误撞选了 RL，没有什么特别的，就是我觉得 RL 应该是搞那个图像的东西，就这样，对。所以是个相当 random 的选择啊，是的是的是的，但是后面搞 RL 呃发现这个
[00:21:00,000] Speaker 0: 这个是个打游戏的东西，嗯呃觉得挺有意思的，然后就一直搞下去了。嗯对，但是实际上呃就是我最开始想法是我其实有三个大的方向，我其实都挺喜欢的，一个是人工智能就是 AI，然后另外一个是图形学，还有一个是网络安全。呃网络安全我觉得这个 hacker 非常酷，那我在大学的时候其实业余时间也搞了很多网络安全的相关的东西，然后还给学校修了不少的这个校园网的 bug。比如说？呃比如说这个修了一下这个免费下成绩单的事儿，一分钱下成绩单的这个事儿，就是成绩单下一次要十块钱，我跟另外一个学长发现了一个 bug，然后呃就是可以一分钱也可以不要钱下载，后面就是下载几次之后把这个 bug 给修了，对，就是直接反馈给这个学校教务部门。所以你是很享受这种 hacking 的过程。对。所以网安是一种 hacking，其他的呢？呃图形学的话我感觉也是个 hacking，对现实世界的 hacking，就是你可以以自己的呃视角去构建你脑中想象的场景，然后这样会让你觉得你是上帝，你是神。我其实当时最感兴趣的还是图形学，因为我我在呃初中的时候看过一个电影叫创，呃 T R O N 就是呃那个那个什么创战纪的那个，它是一个那个呃科幻片，然后它的那个电影特效就非常厉害，然后我就把我当时看得非常震撼，然后我想如果有一天我能做出这种特效，或者说我可以像创这样构建一个自己的虚拟世界，那是呃就是我我觉得我就圆满了。对，然后我觉得图形学是实现这个的一种手段。对，然后所以说我当时就特别感兴趣图形学，然后呃我在大二的时候就上图形学，嗯然后我当时就是因为特别喜欢，所以说我花特别多的时间去做图形学的大作业，然后当时应该是拿了呃全班唯一唯二的 A+，对，然后发明了一个新算法能够减少这个呃迭代的收敛次数，以及用了一堆算力来渲染一个巨高清的图，就应该 16K 的图，然后当时就是在我之前是完全没有人渲染一个 16K 的图的，并且 16K 的图完全没有噪点。那当
[00:24:00,000] Speaker 0: 当时那么感兴趣图形学，后来继续下去了吗？呃没有，因为我觉得就是如果你要搞科研的话那还是呃专心比较好，不能这个脚踩两条船。因为你当时已经去朱军老师那儿了，对，我我已经去朱军老师那儿，对，有有个项目是搞那个呃 VizDoom，就是一个 Doom 是一个差不多九十年代的一个游戏，然后当时是有一个比赛想把这个呃用用一个神经网络来去在一个固定的地图里面，然后把这个游戏打通关，就是有个出生点有个终点，然后你要去在这个地图里面去杀怪，然后去捡血包，然后避障，然后去最终到这个呃终点然后去通关。所以这个其实是你强化学习的入门第一个 project，是的。拿了冠军，是的。所以当时你是很享受做强化学习科研吗？没有。为什么？呃很不享受，因为这个，因为首先这个 task 这个环境太过于单一了，然后你要疯狂地去 overfit。嗯，然后呃就是就是你要用各种各种技巧防止它训练的时候崩了，以及呃呃你即使训练没崩，然后你也不知道你怎么调参才能调对，这个是真的炼丹，这个比 CV 来说，它的调参难度可能要难上十倍一百倍，然后都是玄学，你必须要用一些非常 heuristic 的方法去避免一些 corner case。所以你当时就意识到那段时间的 RL 研究全靠 heuristic 调参？是的是的，就是改算法其实没有那么本质，然后呃因为，因为我当时的那个任务过于单一了，大部分情况下都是不能 work 的。当时的任务第一个当然是 VisDoom，那后面是不是有什么像 Atari、DM Control Suite 呃？我觉得 MuJoCo 跟 Atari 要比 VisDoom 还要简单，对，VisDoom 算难的了。但是呃在这种 case 上面，对于人类而言它是一个简单的 task，但是对于 RL 而言它是一个非常非常难的 task，因为它需要大量的知识，比如说什么是障碍物，这个对于人来说不需要反应的，但是对于 RL 来说，或者对于 AI 来说，完全是两个不同的难度了，对。对，所以你在当时就有很清晰的认知，认识到环境太单一，算法不是瓶颈，这个是你做中你就会发现，太多调参还有太多 heuristic。对，所以说我不是很享受这个
[00:27:00,000] Speaker 0: 科研的过程了，嗯，我然后我会就是我有意识地把我的重心放到了如何帮助这一类的科研更顺利进展的过程上。所以我会呃就是在大四的时候我会想着这个造一套这个 RL 的 infra，嗯，呃或者说 RL 的小小 library 能够更方便地让这些想在这个领域卷的人去卷。对，啊这样的话就是呃我我觉得我非常擅长这个事儿，我非常擅长这个这个呃类似软件工程的这个方面的东西，然后可以重构代码让代码看得更好更好用，然后用户体验做好。嗯，但是呃至于这个东西怎么调，我非常有这种生理上的反应。你不是不擅长，你就是不喜欢不想排斥做这个事儿是吧？是的，这也就是你大四做天授，天授我们等会儿着重聊。是的，所以你大二开始搞科研，搞了 Visdom，然后到了大三是不是面临一个申请暑研？是的，当时是什么样的节奏和状态？申请暑研为了还是为了大四的申请，然后呃发了一堆的套磁信，然后但是也没有什么结果，然后后面还是这个我导师帮我联系了，呃，联系到了 YOShirabando，然后我就过去了。对，其实我那段暑研做的也没有那么的成功，我们当时是在 Mila 对吧？对，是在 Mila，当时是 18 年，呃不对，19 年，19 年的暑假。19 年的暑假的时候，首先，呃 YOShira 是 19 年的应该是四月还是五月拿了图灵奖，然后我是在那个之前审的，呃所以还好。然后后面的话就是 YOShira 给我们，呃给我跟带我的 postdoc 的任务是做一个类似于 MOE 的东西。MOE，对，当时还没有 NLP 的 MOE，嗯，首先这个跟 RL 没有任何关系，嗯，其次这是纯这个 language model 就 Transformer，然后并且当时没有 MOE，我们不知道 MOE 是什么怎么 work，但是它有一个 MOE 的 idea，就是呃有一个这个 router 然后可以选择不同的这个 pass，然后让我去实现。所以他招了一个做 RL 的人去做 NLP，啊是的我觉得很奇怪，但然后我需要花，again 就是我我不擅长学东西，然后我花了很长时间去入门这个 Transformer NLP 这个东西，然后看着这个搓一个东西，但是搓一个东西出来也没有什么好效果，然后因为现在回过头来看，这个你这个东西要 work，首先你要有算力，你要有很强的这
[00:30:00,000] Speaker 0: 呃工程能力，然后你要 scale up。当时这个一个人就几块卡，搞不出来 scale up 的东西，所以说你肯定搞不出来，哪怕方向是对的，那你也是搞不出来的。但其实你有没有觉得好像冥冥之中命运就是在把你往 OpenAI 现在的这条技术路线上推？你先搞了 RL，然后又有人让你搞 NLP，这两个 pieces 你全部都冥冥之中就在 OpenAI 之前你就全部都有过经验。嗯，你要真这么说强行这么说也可以啊，就是马后炮是没有用的。嗯对，在当时其实我知道你完全 get 不到未来，所以你当时对 NLP 什么看法，在经历了那个暑假之后？呃我觉得 NLP task 都是太分散了，然后呃当时其实很多人就在想如何把 RL apply 在这个 language model training 上面，因为当时这个问题是还没有解的。因为 Transformer 直接在强化学习上面跑的话它会崩，它很容易崩，然后大家都没有想出来这个东西到底该怎么防止它不崩，然后后面证明了就是你的环境要呃是一个这个纯的一个环境，然后呃你的 reward 需要一个是一个很强的 reward。什么叫纯的环境？啊比如说 text only。嗯，纯文本。嗯那那之前大家做的不纯的环境是怎？呃比如说你用 Transformer 做一些 Atari decision。啊，比如说你把图像弄成一一些 embedding，但是或者说你把这个 Atari 的这个内部的游戏的信息结构化表示，然后塞到 Transformer 里面然后再跑。对，而且 Transformer 是一个这个随机初始化的 Transformer。我当时首先我没有足够多的 context，我对于这个领域没有足够多的认识，所以呃我做起来就是非常挣扎。呃这个我觉得，我我如果现在回过去来直接来帮助我那时候我呢可能还是这个样子。你是觉得就是当时就处在一个怎么都不可能把东西搞 work 的一个。是的是的是的，因为算力不够，然后这个对于这个当时的一些认知 MOE 的认知也不够，然后呃你哪怕就这么说吧，哪怕当时有了现在的认知那还是做不出来。因为 engineering 不够，然后 compute 也不够。对，嗯，受限于当时的这个资源，你就是做不出来。那当时可能暑研结束了，然后就回到清华开始准备申请。对，当时那那当时是什么样的状态，就是会压力很大
